ID,Qdiag_S,Qval_S,A.SW_hap,LINEAGE,Site,Locality,Distance,ind,Temp_captured,CallDur,CallRate,SUL,HW_sul,HW,RA_sul,RA,FEM_sul,FEM,TIB_sul,TIB,TAR_sul,TAR,FOOT_sul,FOOT,mass,humidity,baro,Height (cm),dB,Vocalsac(dark/med/light),Lat,Long,State,IndivCode,RiseTime,FallTime,CarrierLength,MinFreq,MaxFreq,DeltaFreq,PeakFreq,CallInterval,WaterTemp,AirTemp,ORDER
NC1679,0.967,0.7824,1,SW,Beaver Bend,C,4.210914,1,16,0.1744,1.069866964,32.995,0.313077739051371,10.33,0.205334141536596,6.775,0.469010456129717,15.475,0.459918169419609,15.175,0.282770116684346,9.33,0.434156690407638,14.325,2,64.9,986.9,27,77,L,34.16263,-94.75796,OK,ED24,0.0982,0.0746,0.0016,NA,NA,NA,2746.86,0.5453,NA,19.8,18
NC1678,NA,NA,1,SW,Beaver Bend,C,4.210914,1,16.8,0.1964,1.016776817,28.825,0.325238508239376,9.375,0.218213356461405,6.29,0.460537727666956,13.275,0.475802254986991,13.715,0.306678230702515,8.84,0.45724197745013,13.18,1.4,64.9,986.9,89.9,93.5,M,34.16263,-94.75796,OK,"ED25,26",0.081,0.0912,0.0242,NA,NA,NA,2775.02,0.4817,NA,19.8,17
NC1680,NA,NA,1,SW,Beaver Bend,C,4.210914,1,16,0.1846,1.265683469,29.63,0.321127235909551,9.515,0.216672291596355,6.42,0.488187647654404,14.465,0.505231184610192,14.97,0.315558555518056,9.35,0.446675666554168,13.235,1.8,67.4,975.6,0,86,M,34.16263,-94.75796,OK,ASC16228,0.0358,0.138,0.0108,2332.5,3053.68,721.18,2653.12,0.5084,NA,19.6,19
NC1676,NA,NA,1,SW,Beaver Bend,C,4.210914,1,16,0.1872,1.02126637,29.68,0.318733153638814,9.46,0.195586253369272,5.805,0.498146900269542,14.785,0.497641509433962,14.77,0.303739892183288,9.015,0.452998652291105,13.445,1.6,64.9,986.9,0,88.5,M,34.16263,-94.75796,OK,ASC16230,0.1486,0.044,-0.0054,2345.42,3339.86,994.44,2934.36,0.4969,NA,19.8,15
NC1677,NA,NA,1,SW,Beaver Bend,C,4.210914,1,17,0.1872,1.236263736,30.045,0.334831086703278,10.06,0.219004826094192,6.58,0.507072724246963,15.235,0.518222666000999,15.57,0.310034947578632,9.315,0.461308037943085,13.86,1.9,68,991.6,0,80,L,34.16263,-94.75796,OK,ED22-23,0.1312,0.0544,0.0016,NA,NA,NA,2737.52,0.7113,NA,19.3,16
NC1675,NA,NA,NA,NA,Beaver Bend,C,4.210914,1,16,0.1714,1.342356955,29.885,0.3326083319391,9.94,0.206123473314372,6.16,0.471808599631922,14.1,0.46913167140706,14.02,0.291450560481847,8.71,0.423289275556299,12.65,1.5,67.4,975.6,3,84,M,34.16263,-94.75796,OK,ASC16227,0.0898,0.0946,-0.013,2515.76,3441.9,926.14,2962.48,0.7202,NA,19.6,14
NC17104,0.0268,0.001,0,W,Bethel Cutoff/ Sleepy Site,H,25.545051,1,18.2,0.1478,1.233243968,32.07,0.309011537262239,9.91,0.216557530402245,6.945,0.486591830371063,15.605,0.475678203928906,15.255,0.292329279700655,9.375,0.449641409416901,14.42,1.9,68,991.6,28,94.5,M,34.3467,-94.82617,OK,"ASC120ED86,87",0.1004,0.0526,-0.0052,NA,NA,NA,3149.98,0.5601,NA,19.3,51
NC17102,0.062,0.006,0,W,Bethel Cutoff/ Sleepy Site,H,25.545051,1,13.5,0.1478,1.133786848,24.215,0.307247573817881,7.44,0.18397687383853,4.455,0.481106752013215,11.65,0.493082799917407,11.94,0.310551311170762,7.52,0.440016518686764,10.655,1.1,64.2,990.7,71.5,88,L,34.3467,-94.82617,OK,ASC118219,0.0962,0.0454,0.0062,2437.52,3461.06,1023.54,2925,0.6048,13,18.1,49
NC17103,NA,NA,0,W,Bethel Cutoff/ Sleepy Site,H,25.545051,1,15,0.1304,1.136251359,25.355,0.334647998422402,8.485,0.234864918162098,5.955,0.497337803194636,12.61,0.490633011240386,12.44,0.306251232498521,7.765,0.43738907513311,11.09,1.9,64.2,990.7,0,74,L,34.3467,-94.82617,OK,ASC119ED83,0.0654,0.0754,-0.0104,NA,NA,NA,2990.64,0.697875,13,18.1,50
NC17101,NA,NA,0,W,Bethel Cutoff/ Sleepy Site,H,25.545051,1,15.2,0.1648,1.275600595,26.45,0.364272211720227,9.635,0.21531190926276,5.695,0.538185255198488,14.235,0.527788279773157,13.96,0.318147448015123,8.415,0.485255198487713,12.835,1.4,67.4,975.6,0,93.5,M,34.3467,-94.82617,OK,ASC117218,0.1114,0.0478,0.0056,2306.42,3212.64,906.22,2765.62,0.5063,NA,19.6,48
